#_prom,Player,Team_prom,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,#_adv,Team_adv,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,MIN,Pos,Team,#,Team_misc,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,OWS,DWS,WS,Team_completo
35,ALBERTO MORENO,CCC,11,19.5,12.0,4.3,9.9,0.431,1.5,4.3,0.362,1.9,2.3,0.84,0.7,2.2,2.9,1.8,1.3,0.0,2.5,4.3,30,CCC,0.55,0.509,163.3,0.044000000000000004,0.127,0.086,0.235,0.184,0.036000000000000004,0.0,0.32799999999999996,-6.4,1.2,100.6,101.1,-0.5,50.4,19.8,215.0,SG,CCC,338,KRC,0,0,0,0,0,0,0,16,0,0.188,1.9,0.4,0.3,4,8,0.333,0.0,-0.1,0.0,CORDOBA
35,ALBERTO MORENO,CCC,11,19.5,12.0,4.3,9.9,0.431,1.5,4.3,0.362,1.9,2.3,0.84,0.7,2.2,2.9,1.8,1.3,0.0,2.5,4.3,30,CCC,0.55,0.509,163.3,0.044000000000000004,0.127,0.086,0.235,0.184,0.036000000000000004,0.0,0.32799999999999996,-6.4,1.2,100.6,101.1,-0.5,50.4,19.8,215.0,SG,KRC,213,CCC,0,0,0,0,0,0,0,18,0,0.248,0.7,0.5,0.2,5,6,0.455,0.3,0.3,0.6,CLAVIJO
35,ALBERTO MORENO,CCC,11,19.5,12.0,4.3,9.9,0.431,1.5,4.3,0.362,1.9,2.3,0.84,0.7,2.2,2.9,1.8,1.3,0.0,2.5,4.3,30,CCC,0.55,0.509,163.3,0.044000000000000004,0.127,0.086,0.235,0.184,0.036000000000000004,0.0,0.32799999999999996,-6.4,1.2,100.6,101.1,-0.5,50.4,19.8,215.0,SG,KRC,338,KRC,0,0,0,0,0,0,0,16,0,0.188,1.9,0.4,0.3,4,8,0.333,0.0,-0.1,0.0,CLAVIJO
35,ALBERTO MORENO,CCC,11,19.5,12.0,4.3,9.9,0.431,1.5,4.3,0.362,1.9,2.3,0.84,0.7,2.2,2.9,1.8,1.3,0.0,2.5,4.3,30,CCC,0.55,0.509,163.3,0.044000000000000004,0.127,0.086,0.235,0.184,0.036000000000000004,0.0,0.32799999999999996,-6.4,1.2,100.6,101.1,-0.5,50.4,19.8,253.0,SG,CCC,213,CCC,0,0,0,0,0,0,0,18,0,0.248,0.7,0.5,0.2,5,6,0.455,0.3,0.3,0.6,CORDOBA
35,ALBERTO MORENO,CCC,11,19.5,12.0,4.3,9.9,0.431,1.5,4.3,0.362,1.9,2.3,0.84,0.7,2.2,2.9,1.8,1.3,0.0,2.5,4.3,30,CCC,0.55,0.509,163.3,0.044000000000000004,0.127,0.086,0.235,0.184,0.036000000000000004,0.0,0.32799999999999996,-6.4,1.2,100.6,101.1,-0.5,50.4,19.8,253.0,SG,CCC,338,KRC,0,0,0,0,0,0,0,16,0,0.188,1.9,0.4,0.3,4,8,0.333,0.0,-0.1,0.0,CORDOBA
35,ALBERTO MORENO,CCC,11,19.5,12.0,4.3,9.9,0.431,1.5,4.3,0.362,1.9,2.3,0.84,0.7,2.2,2.9,1.8,1.3,0.0,2.5,4.3,30,CCC,0.55,0.509,163.3,0.044000000000000004,0.127,0.086,0.235,0.184,0.036000000000000004,0.0,0.32799999999999996,-6.4,1.2,100.6,101.1,-0.5,50.4,19.8,253.0,SG,KRC,213,CCC,0,0,0,0,0,0,0,18,0,0.248,0.7,0.5,0.2,5,6,0.455,0.3,0.3,0.6,CLAVIJO
35,ALBERTO MORENO,CCC,11,19.5,12.0,4.3,9.9,0.431,1.5,4.3,0.362,1.9,2.3,0.84,0.7,2.2,2.9,1.8,1.3,0.0,2.5,4.3,30,CCC,0.55,0.509,163.3,0.044000000000000004,0.127,0.086,0.235,0.184,0.036000000000000004,0.0,0.32799999999999996,-6.4,1.2,100.6,101.1,-0.5,50.4,19.8,253.0,SG,KRC,338,KRC,0,0,0,0,0,0,0,16,0,0.188,1.9,0.4,0.3,4,8,0.333,0.0,-0.1,0.0,CLAVIJO
35,ALBERTO MORENO,CCC,11,19.5,12.0,4.3,9.9,0.431,1.5,4.3,0.362,1.9,2.3,0.84,0.7,2.2,2.9,1.8,1.3,0.0,2.5,4.3,274,KRC,0.448,0.385,137.2,0.046,0.079,0.062,0.23199999999999998,0.154,0.013000000000000001,0.9,0.198,1.6,1.0,95.9,112.9,-17.0,38.9,10.1,215.0,SG,CCC,213,CCC,0,0,0,0,0,0,0,18,0,0.248,0.7,0.5,0.2,5,6,0.455,0.3,0.3,0.6,CORDOBA
35,ALBERTO MORENO,CCC,11,19.5,12.0,4.3,9.9,0.431,1.5,4.3,0.362,1.9,2.3,0.84,0.7,2.2,2.9,1.8,1.3,0.0,2.5,4.3,274,KRC,0.448,0.385,137.2,0.046,0.079,0.062,0.23199999999999998,0.154,0.013000000000000001,0.9,0.198,1.6,1.0,95.9,112.9,-17.0,38.9,10.1,215.0,SG,CCC,338,KRC,0,0,0,0,0,0,0,16,0,0.188,1.9,0.4,0.3,4,8,0.333,0.0,-0.1,0.0,CORDOBA
35,ALBERTO MORENO,CCC,11,19.5,12.0,4.3,9.9,0.431,1.5,4.3,0.362,1.9,2.3,0.84,0.7,2.2,2.9,1.8,1.3,0.0,2.5,4.3,274,KRC,0.448,0.385,137.2,0.046,0.079,0.062,0.23199999999999998,0.154,0.013000000000000001,0.9,0.198,1.6,1.0,95.9,112.9,-17.0,38.9,10.1,215.0,SG,KRC,213,CCC,0,0,0,0,0,0,0,18,0,0.248,0.7,0.5,0.2,5,6,0.455,0.3,0.3,0.6,CLAVIJO
35,ALBERTO MORENO,CCC,11,19.5,12.0,4.3,9.9,0.431,1.5,4.3,0.362,1.9,2.3,0.84,0.7,2.2,2.9,1.8,1.3,0.0,2.5,4.3,274,KRC,0.448,0.385,137.2,0.046,0.079,0.062,0.23199999999999998,0.154,0.013000000000000001,0.9,0.198,1.6,1.0,95.9,112.9,-17.0,38.9,10.1,215.0,SG,KRC,338,KRC,0,0,0,0,0,0,0,16,0,0.188,1.9,0.4,0.3,4,8,0.333,0.0,-0.1,0.0,CLAVIJO
35,ALBERTO MORENO,CCC,11,19.5,12.0,4.3,9.9,0.431,1.5,4.3,0.362,1.9,2.3,0.84,0.7,2.2,2.9,1.8,1.3,0.0,2.5,4.3,274,KRC,0.448,0.385,137.2,0.046,0.079,0.062,0.23199999999999998,0.154,0.013000000000000001,0.9,0.198,1.6,1.0,95.9,112.9,-17.0,38.9,10.1,253.0,SG,CCC,213,CCC,0,0,0,0,0,0,0,18,0,0.248,0.7,0.5,0.2,5,6,0.455,0.3,0.3,0.6,CORDOBA
35,ALBERTO MORENO,CCC,11,19.5,12.0,4.3,9.9,0.431,1.5,4.3,0.362,1.9,2.3,0.84,0.7,2.2,2.9,1.8,1.3,0.0,2.5,4.3,274,KRC,0.448,0.385,137.2,0.046,0.079,0.062,0.23199999999999998,0.154,0.013000000000000001,0.9,0.198,1.6,1.0,95.9,112.9,-17.0,38.9,10.1,253.0,SG,CCC,338,KRC,0,0,0,0,0,0,0,16,0,0.188,1.9,0.4,0.3,4,8,0.333,0.0,-0.1,0.0,CORDOBA
